caption,musicInfo/audio_canonical_id,musicInfo/audio_type,musicInfo/music_info/music_asset_info/allows_saving,musicInfo/music_info/music_asset_info/artist_id,musicInfo/music_info/music_asset_info/audio_id,musicInfo/music_info/music_asset_info/cover_artwork_thumbnail_uri,musicInfo/music_info/music_asset_info/cover_artwork_uri,musicInfo/music_info/music_asset_info/dark_message,musicInfo/music_info/music_asset_info/display_artist,musicInfo/music_info/music_asset_info/duration_in_ms,musicInfo/music_info/music_asset_info/fast_start_progressive_download_url,musicInfo/music_info/music_asset_info/has_lyrics,musicInfo/music_info/music_asset_info/highlight_start_times_in_ms/0,musicInfo/music_info/music_asset_info/highlight_start_times_in_ms/1,musicInfo/music_info/music_asset_info/highlight_start_times_in_ms/2,musicInfo/music_info/music_asset_info/id,musicInfo/music_info/music_asset_info/ig_username,musicInfo/music_info/music_asset_info/is_eligible_for_audio_effects,musicInfo/music_info/music_asset_info/is_eligible_for_vinyl_sticker,musicInfo/music_info/music_asset_info/is_explicit,musicInfo/music_info/music_asset_info/licensed_music_subtype,musicInfo/music_info/music_asset_info/lyrics,musicInfo/music_info/music_asset_info/progressive_download_url,musicInfo/music_info/music_asset_info/reactive_audio_download_url,musicInfo/music_info/music_asset_info/sanitized_title,musicInfo/music_info/music_asset_info/song_monetization_info,musicInfo/music_info/music_asset_info/spotify_track_metadata,musicInfo/music_info/music_asset_info/subtitle,musicInfo/music_info/music_asset_info/title,musicInfo/music_info/music_asset_info/web_30s_preview_download_url,musicInfo/music_info/music_consumption_info/allow_media_creation_with_music,musicInfo/music_info/music_consumption_info/audio_asset_start_time_in_ms,musicInfo/music_info/music_consumption_info/audio_muting_info/allow_audio_editing,musicInfo/music_info/music_consumption_info/audio_muting_info/mute_audio,musicInfo/music_info/music_consumption_info/audio_muting_info/mute_reason,musicInfo/music_info/music_consumption_info/audio_muting_info/mute_reason_str,musicInfo/music_info/music_consumption_info/audio_muting_info/show_muted_audio_toast,musicInfo/music_info/music_consumption_info/contains_lyrics,musicInfo/music_info/music_consumption_info/derived_content_id,musicInfo/music_info/music_consumption_info/display_labels,musicInfo/music_info/music_consumption_info/formatted_clips_media_count,musicInfo/music_info/music_consumption_info/ig_artist,musicInfo/music_info/music_consumption_info/ig_artist/full_name,musicInfo/music_info/music_consumption_info/ig_artist/id,musicInfo/music_info/music_consumption_info/ig_artist/is_private,musicInfo/music_info/music_consumption_info/ig_artist/is_verified,musicInfo/music_info/music_consumption_info/ig_artist/profile_pic_id,musicInfo/music_info/music_consumption_info/ig_artist/profile_pic_url,musicInfo/music_info/music_consumption_info/ig_artist/username,musicInfo/music_info/music_consumption_info/is_bookmarked,musicInfo/music_info/music_consumption_info/is_trending_in_clips,musicInfo/music_info/music_consumption_info/music_creation_restriction_reason,musicInfo/music_info/music_consumption_info/overlap_duration_in_ms,musicInfo/music_info/music_consumption_info/placeholder_profile_pic_url,musicInfo/music_info/music_consumption_info/previous_trend_rank,musicInfo/music_info/music_consumption_info/should_allow_music_editing,musicInfo/music_info/music_consumption_info/should_mute_audio,musicInfo/music_info/music_consumption_info/should_mute_audio_reason,musicInfo/music_info/music_consumption_info/should_mute_audio_reason_type,musicInfo/music_info/music_consumption_info/trend_rank,musicInfo/music_info/music_consumption_info/user_notes,musicInfo/original_sound_info,likesCount,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28,hashtags/29,locationId,mentions/0,mentions/1,mentions/2,mentions/3,mentions/4,mentions/5,commentsCount,type,firstComment,ownerFullName,id,url,inputUrl,displayUrl,ownerId,ownerUsername
"The finished Menswear Father’s Day window

@marksandspencerstyle 
@marksandspencer 

#fyp #foryoupage #window #fashion #styling #merchandising #visualmerchandising #stylist #highstreet #highstreetfashion #highstreetstyle #marksandspencers #mands",0,licensed_music,false,,0,,,,,0,,false,,,,0,,false,true,false,DEFAULT,,,,,,,,,,false,10,false,true,music_rights_not_launched_country,This music can't be played due to recent licensing changes with the rights holder.,false,,,,,,,,,,,,,false,false,,30000,https://scontent-vie1-1.cdninstagram.com/v/t51.12442-15/43985629_311105916145351_58064759811405776_n.jpg?_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QHjq-AIbyCfK6wdDbzY5x9QLAH3gcoxjbnfERJ1rlJRGqSwqiRqpUeSHdZC3ydopU6RmaYu2lmZrl73085d8xg5&_nc_ohc=BBQmyJ3UNp8Q7kNvwEhs7Bh&_nc_gid=JP0dyXr9aF5wu_7NopcdCg&edm=AMKDjl4AAAAA&ccb=7-5&oh=00_AfKcCojWg9J4CJZweqHlLEmdsazd3rhwDi02NbuZGgbEKA&oe=6834F3BD&_nc_sid=472314,,false,true,This music can't be played due to recent licensing changes with the rights holder.,music_rights_not_launched_country,,,,2,fyp,foryoupage,window,fashion,styling,merchandising,visualmerchandising,stylist,highstreet,highstreetfashion,highstreetstyle,marksandspencers,mands,,,,,,,,,,,,,,,,,,1480723,marksandspencerstyle,marksandspencer,,,,,0,Image,,Chloe Hedges,3638009193710262501,https://www.instagram.com/p/DJ8zhYwtJjl/,https://www.instagram.com/explore/tags/MandS,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/500612713_18385692400141287_6727997567984141228_n.jpg?se=-1&stp=dst-jpegr_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTQwNy5oZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QHjq-AIbyCfK6wdDbzY5x9QLAH3gcoxjbnfERJ1rlJRGqSwqiRqpUeSHdZC3ydopU6RmaYu2lmZrl73085d8xg5&_nc_ohc=lSaQCStZAx4Q7kNvwES04mV&_nc_gid=JP0dyXr9aF5wu_7NopcdCg&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYzODAwOTE5MzcxMDI2MjUwMQ%3D%3D.3-ccb7-5&oh=00_AfJzN_MWzDcQ1nY1y0NiSQokXFXKAyIx0AncIv7qlCHx6Q&oe=6834E2ED&_nc_sid=472314,4260461286,bychloehedges
". 

      & !

#vehiclerepair #supportlocal  #bridgendbusiness #BridgendLocal #brynmenyn #shoplocal #Mands #Bridgend #localbusiness #accidentrepair #vehiclemaintenance #bridgendcounty #supportlocalbusiness #SupportSmallBusiness #mandsvehicleservices #vehiclerepair #BridgendLocal #brynmenyn #bridgendbusiness #Mands #Bridgend #supportlocal #shopbridgend #vehiclemaintenance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vehiclerepair,supportlocal,bridgendbusiness,BridgendLocal,brynmenyn,shoplocal,Mands,Bridgend,localbusiness,accidentrepair,vehiclemaintenance,bridgendcounty,supportlocalbusiness,SupportSmallBusiness,mandsvehicleservices,shopbridgend,,,,,,,,,,,,,,,,,,,,,,0,Image,,M&S Vehicle Services Ltd,3637970543904102192,https://www.instagram.com/p/DJ8qu9UvRcw/,https://www.instagram.com/explore/tags/MandS,https://scontent-vie1-1.cdninstagram.com/v/t39.30808-6/493314213_1210202264446773_5515558220630534014_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEyMDB4NjMwLnNkci5mMzA4MDguZGVmYXVsdF9pbWFnZSJ9&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QHjq-AIbyCfK6wdDbzY5x9QLAH3gcoxjbnfERJ1rlJRGqSwqiRqpUeSHdZC3ydopU6RmaYu2lmZrl73085d8xg5&_nc_ohc=BPEAnPhZ10wQ7kNvwGtvQ1c&_nc_gid=JP0dyXr9aF5wu_7NopcdCg&edm=AMKDjl4AAAAA&ccb=7-5&ig_cache_key=MzYzNzk3MDU0MzkwNDEwMjE5Mg%3D%3D.3-ccb7-5&oh=00_AfIU9ucnLJOofvG0-39YsMYBFvOR-M9vU-rb4FmVtYj4Ig&oe=6834E48A&_nc_sid=472314,42046891456,mandsvehicleservices
"Halloween Party Bangers at marksandspencerfood 

#halloweencookies #halloweenpartyideas #halloweenpartyfood #halloweenfood #halloweenfoodideas #marksandspencer #mands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,halloweencookies,halloweenpartyideas,halloweenpartyfood,halloweenfood,halloweenfoodideas,marksandspencer,mands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Image,,Big Schroeder,3637938944554362643,https://www.instagram.com/p/DJ8jjIIuOcT/,https://www.instagram.com/explore/tags/MandS,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/499669553_17844119469490372_3654311004045216594_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjQxMng3MzIuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QHjq-AIbyCfK6wdDbzY5x9QLAH3gcoxjbnfERJ1rlJRGqSwqiRqpUeSHdZC3ydopU6RmaYu2lmZrl73085d8xg5&_nc_ohc=bAFrg5dm9q0Q7kNvwF3SyTT&_nc_gid=JP0dyXr9aF5wu_7NopcdCg&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYzNzkzODk0NDU1NDM2MjY0Mw%3D%3D.3-ccb7-5&oh=00_AfL8aK8ofQLSaAt2VZWYXUC3-WzRoEERoObQdGpVVNvYIQ&oe=6834FBDC&_nc_sid=472314,74657754371,hinainstyle
"It’s never too early to start thinking about christmas!! Especially when it comes to MS and their food 

Everything was absolutely unreal ofc! Standout for me is the frozen trifle caked alaska  so easily kept in the freezer until the big day (or in my case probably going to be eaten long before )

PR INVITEad

#dayinthelife #christmasfood #marksandspencer #mands #marksandspencerfood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dayinthelife,christmasfood,marksandspencer,mands,marksandspencerfood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Image,,,3637574859505852294,https://www.instagram.com/p/DJ7Qw_gvN-G/,https://www.instagram.com/explore/tags/MandS,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/500292076_17863416225402568_4520062346488926423_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjQxMng3MzQuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QHjq-AIbyCfK6wdDbzY5x9QLAH3gcoxjbnfERJ1rlJRGqSwqiRqpUeSHdZC3ydopU6RmaYu2lmZrl73085d8xg5&_nc_ohc=ADVIBf3epmEQ7kNvwGsu4k5&_nc_gid=JP0dyXr9aF5wu_7NopcdCg&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYzNzU3NDg1OTUwNTg1MjI5NA%3D%3D.3-ccb7-5&oh=00_AfLuMApgWjSZTzcXeQSpBRN0Y_bI7fNk6cS9XLXlb6xd9Q&oe=6834EA25&_nc_sid=472314,72175746567,inspirewithmirna
"Marks & Spencer CEO takes a £1.1M pay cut following a major cyberattack that disrupted operations. This incident underscores the rising stakes of cybersecurity in retail and the accountability demanded from corporate leadership.

Shrikanth Govindarajan takes a close look at how the M&S breach not only exposed customer data but also has far-reaching implications across the business. It’s time to reinforce the digital guardrails.

Read more: https://www.ciol.com/news/ms-ceo-faces-11m-pay-hit-after-cyberattack-shakes-retail-giant-9086381

#CIOL #MandS #CyberAttack #LeadershipAccountability #RetailSecurity #CEOPayCut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIOL,MandS,CyberAttack,LeadershipAccountability,RetailSecurity,CEOPayCut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Image,,CiOL,3637359742972036896,https://www.instagram.com/p/DJ6f2ooJ4cg/,https://www.instagram.com/explore/tags/MandS,https://scontent-vie1-1.cdninstagram.com/v/t39.30808-6/499795870_1132699002206836_5295962090170973112_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwODB4MTM1MC5zZHIuZjMwODA4LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QHjq-AIbyCfK6wdDbzY5x9QLAH3gcoxjbnfERJ1rlJRGqSwqiRqpUeSHdZC3ydopU6RmaYu2lmZrl73085d8xg5&_nc_ohc=NKBZ241Sem0Q7kNvwHaT-v1&_nc_gid=JP0dyXr9aF5wu_7NopcdCg&edm=AMKDjl4AAAAA&ccb=7-5&ig_cache_key=MzYzNzM1OTc0Mjk3MjAzNjg5Ng%3D%3D.3-ccb7-5&oh=00_AfKSxjwbwZcf8xAT3vPhuM6ELsLlV2AltHE-SuG1xlgslg&oe=6834FC39&_nc_sid=472314,53248888486,ciol_news
M&S online shopping is on hold due to a cyberattack. Find out when you might be able to shop online again and what's happening with customer data. Link in bio for full story... @venture.news.official  #MandS #CyberAttack #OnlineShopping #RetailChaos #CustomerData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MandS,CyberAttack,OnlineShopping,RetailChaos,CustomerData,,,,,,,,,,,,,,,,,,,,,,,,,,,venture.news.official,,,,,,0,Image,,Venture,3637307279055191988,https://www.instagram.com/p/DJ6T7LzBv-0/,https://www.instagram.com/explore/tags/MandS,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/499485355_17906805633148666_1986846042781557807_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEzNTB4MTM1MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QHjq-AIbyCfK6wdDbzY5x9QLAH3gcoxjbnfERJ1rlJRGqSwqiRqpUeSHdZC3ydopU6RmaYu2lmZrl73085d8xg5&_nc_ohc=wW__L8nj_poQ7kNvwG5C93Y&_nc_gid=JP0dyXr9aF5wu_7NopcdCg&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYzNzMwNzI3OTA1NTE5MTk4OA%3D%3D.3-ccb7-5&oh=00_AfJO7SDiVPrl0cUSxCMTs5-iqtf9c5McHw0pXeH3-9-5Tw&oe=6834E00A&_nc_sid=472314,64334084665,venture.news.official
". 

      & !

#vehiclerepair #supportlocal  #bridgendbusiness #BridgendLocal #brynmenyn #shoplocal #Mands #Bridgend #localbusiness #accidentrepair #vehiclemaintenance #bridgendcounty #supportlocalbusiness #SupportSmallBusiness #mandsvehicleservices #vehiclerepair #BridgendLocal #brynmenyn #bridgendbusiness #Mands #Bridgend #supportlocal #shopbridgend #vehiclemaintenance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vehiclerepair,supportlocal,bridgendbusiness,BridgendLocal,brynmenyn,shoplocal,Mands,Bridgend,localbusiness,accidentrepair,vehiclemaintenance,bridgendcounty,supportlocalbusiness,SupportSmallBusiness,mandsvehicleservices,shopbridgend,,,,,,,,,,,,,,,,,,,,,,0,Image,,M&S Vehicle Services Ltd,3637275987595035989,https://www.instagram.com/p/DJ6Mz1WqQVV/,https://www.instagram.com/explore/tags/MandS,https://scontent-vie1-1.cdninstagram.com/v/t39.30808-6/493314213_1210202264446773_5515558220630534014_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEyMDB4NjMwLnNkci5mMzA4MDguZGVmYXVsdF9pbWFnZSJ9&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QHjq-AIbyCfK6wdDbzY5x9QLAH3gcoxjbnfERJ1rlJRGqSwqiRqpUeSHdZC3ydopU6RmaYu2lmZrl73085d8xg5&_nc_ohc=BPEAnPhZ10wQ7kNvwGtvQ1c&_nc_gid=JP0dyXr9aF5wu_7NopcdCg&edm=AMKDjl4AAAAA&ccb=7-5&ig_cache_key=MzYzNzI3NTk4NzU5NTAzNTk4OQ%3D%3D.3-ccb7-5&oh=00_AfIU9ucnLJOofvG0-39YsMYBFvOR-M9vU-rb4FmVtYj4Ig&oe=6834E48A&_nc_sid=472314,42046891456,mandsvehicleservices
"#Хайлайтер #MarksandSpencer #MandS 

Стан: Новий 

Колір: #Білий

Розмір: _____

Склад: _____

Опис:

Ціна: 350 грн

#Київ #Харків #Дніпро #Одеса #Запоріжжя #Львів #Миколаїв #Вінниця #Черкаси #Рівне #Тернопіль #ІваноФранківськ #Луцьк",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Хайлайтер,MarksandSpencer,MandS,Білий,Київ,Харків,Дніпро,Одеса,Запоріжжя,Львів,Миколаїв,Вінниця,Черкаси,Рівне,Тернопіль,ІваноФранківськ,Луцьк,,,,,,,,,,,,,,541278629298291,,,,,,,0,Sidecar,,XVIVMCMLXXXIV,3637269835945368916,https://www.instagram.com/p/DJ6LaULxF1U/,https://www.instagram.com/explore/tags/MandS,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/500243963_18509006707038507_9116167747081686603_n.jpg?se=-1&stp=dst-jpegr_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5oZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QHjq-AIbyCfK6wdDbzY5x9QLAH3gcoxjbnfERJ1rlJRGqSwqiRqpUeSHdZC3ydopU6RmaYu2lmZrl73085d8xg5&_nc_ohc=HbWQolEfKSYQ7kNvwEca2W-&_nc_gid=JP0dyXr9aF5wu_7NopcdCg&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYzNzI2OTgyNDczODM4MTI3Mw%3D%3D.3-ccb7-5&oh=00_AfK0He3ypEFdyalCGd7UZ69DJlKTUFrMbZ0yrKcFKUL9ng&oe=6834E5AD&_nc_sid=472314,1548582506,serhiikholod
"M&S faces a £300m profit hit and offline online services until July after a major cyber attack. Customer data stolen, CEO pay slashed, and a class action lawsuit looms. Here’s what you need to know. Link in bio for full story... @venture.news.official  #MandS #CyberAttack #DataBreach #RetailChaos #OnlineShopping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MandS,CyberAttack,DataBreach,RetailChaos,OnlineShopping,,,,,,,,,,,,,,,,,,,,,,,,,,,venture.news.official,,,,,,0,Image,,Venture,3637225754518956081,https://www.instagram.com/p/DJ6BY2KASgx/,https://www.instagram.com/explore/tags/MandS,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/499352437_17906791797148666_3350304284284227111_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEzNTB4MTM1MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QHjq-AIbyCfK6wdDbzY5x9QLAH3gcoxjbnfERJ1rlJRGqSwqiRqpUeSHdZC3ydopU6RmaYu2lmZrl73085d8xg5&_nc_ohc=XTjTNHsCs6YQ7kNvwFmlxxd&_nc_gid=JP0dyXr9aF5wu_7NopcdCg&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYzNzIyNTc1NDUxODk1NjA4MQ%3D%3D.3-ccb7-5&oh=00_AfLTGp3Yg0z0gTgJiMGkJlYilYhXJmyAQDqoNfazCpLWXQ&oe=6834E43B&_nc_sid=472314,64334084665,venture.news.official
"Today is Marks and Spencer results day – a key moment in the retail calendar.

But this year, the headline figures are accompanied by a much more unusual and challenging backdrop.

For the past four weeks, M&S – along with fellow British retailers including Co-op and Harrods – has been managing the fallout of a major cyber attack. This is a company that, under the leadership of Stuart Machin has worked tirelessly to rebuild trust, relevance, and momentum across the high street. Now, it faces a test of resilience from a very different front.

I’ve contributed to a new BBC documentary released today – Inside the High Street Cyber-Attacks – which explores what really happened, how these brands were targeted, and crucially, how businesses can better protect and prepare themselves.

My focus, as ever, is the consumer. What do they experience during a cyber crisis? How is trust maintained or lost? And how can retailers communicate clearly and compassionately in a world full of jargon and confusion?

This isn’t just an IT issue – it’s a boardroom conversation, and one that affects reputation, loyalty, and business continuity.

The documentary is now available on BBC iPlayer, and I hope it helps shed light on the scale of the challenge – and the steps retailers must take to navigate it with clarity and care.

The Customer Whisperer TV 

Insight with Passion Consultancy 

Hardcastle Collective 

Sara Cameron 
Speakers Corner 
BBC News 

#BBC #BBCDocumentary 
#Retail #CyberSecurity #ConsumerTrust #MarksandSpencer #MandS #CoOp #Harrods #Leadership #RetailEvolution #TheCustomerWhisperer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,BBC,BBCDocumentary,Retail,CyberSecurity,ConsumerTrust,MarksandSpencer,MandS,CoOp,Harrods,Leadership,RetailEvolution,TheCustomerWhisperer,,,,,,,,,,,,,,,,,,,213037769,,,,,,,0,Sidecar,,Kate Hardcastle MBE Broadcaster & Business Transformation,3637152618868635619,https://www.instagram.com/p/DJ5wwlRi_fj/,https://www.instagram.com/explore/tags/MandS,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/499235827_18508160278007168_175773115414833510_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4ODg1LnNkci5mNzU3NjEuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHjq-AIbyCfK6wdDbzY5x9QLAH3gcoxjbnfERJ1rlJRGqSwqiRqpUeSHdZC3ydopU6RmaYu2lmZrl73085d8xg5&_nc_ohc=seBnHxMK8-kQ7kNvwF4PabI&_nc_gid=JP0dyXr9aF5wu_7NopcdCg&edm=AMKDjl4BAAAA&ccb=7-5&ig_cache_key=MzYzNzE1MjYwNjk2NTE1NzMxNA%3D%3D.3-ccb7-5&oh=00_AfIDxc6VDqSlMd7OimSBtyEQKC57SzSFF2aCTr3C8iYccQ&oe=683503D4&_nc_sid=472314,1493959167,realkatehardcastle
